LANGUAGE	English	German	French	Spanish	Chinese
Keyboard_ShiftOn	Shift on	Grossbuchstaben	lettres capitales	letras mayúsculas	Shift on
Keyboard_ShiftOff	Shift off	Kleinbuchstaben	minuscules	letras minusculas	Shift off
				
Mobile_General	Swipe left and right to navigate. Swipe up and down to quickly jump between groups of elements. Swipe up with two fingers to read the entire screen from the top. Double tap to activate an item.	Zum Navigieren nach links oder rechts swipen. Um schnell zwischen Gruppen hin und her zu springen, nach oben oder unten swipen. Um den Bildschirm von oben nach unten vorgelesen zu bekommen, bitte mit zwei Fingern aufwärts swipen. Zum Anwählen einer Schaltfläche mit einem Finger doppelt tippen.	Balayez vers la gauche et la droite pour naviguer. Balayez vers le haut et vers le bas pour sauter rapidement entre les groupes d'éléments. Balayez avec deux doigts pour lire tout l'écran du haut. Appuyez deux fois pour activer un élément.	Pase a la izquierda y derecha para navegar. Deslizar hacia arriba y abajo para saltar rápidamente entre grupos de elementos. Pase hacia arriba con dos dedos para leer toda la pantalla desde la parte superior. Doble toque para activar un elemento.	左右滑動即可瀏覽。上下滑動可在元素組之間快速跳轉。用兩根手指向上滑動以從頂部閱讀整個屏幕。點按兩次以激活一個項目。
Mobile_HintButton	Double tap to select.	Zum Anwählen doppelt tippen.	Appuyez deux fois pour sélectionner.	Doble toque para seleccionar.	點按兩次選擇
Mobile_HintToggle	Double tap to change.	Zum Ändern doppelt tippen.	Appuyez deux fois pour changer.	Doble toque para cambiar.	點按兩次更改
Mobile_HintTextEdit	Double tap to edit.	Zum Ändern doppelt tippen.	Appuyez deux fois pour modifier.	Doble click para editar.	點按兩次編輯
Mobile_HintDropdown	Double tap to change.	Zum Ändern doppelt tippen.	Appuyez deux fois pour changer.	Doble toque para cambiar.	點按兩次更改
Mobile_HintSlider	Double tap to activate, then swipe up and down to change the value.	Zum Anwählen doppelt tippen, danach nach oben und unten swipen, um Einträge auszuwählen.	Appuyez deux fois pour activer, puis faites glisser votre doigt vers le haut et vers le bas pour changer la valeur.	Doble toque para activar, a continuación, deslizar hacia arriba y abajo para cambiar el valor.	點按兩次激活
				
Desktop_General	Use the up and down arrow keys to navigate. Use Tab and Shift-Tab to quickly jump between groups of elements. Press return to activate an item.	Zum Navigieren die Pfeiltasten nutzen. Mit Tab und Umschalttaste und Tab kann zwischen Gruppen schnell hin und her gesprungen werden. Zum Anwählen einer Schaltfläche Enter drücken.	Utilisez les touches haut et bas de flèches pour naviguer. Utilisez Tab et Shift-Tab pour passer rapidement entre les groupes d'éléments. Appuyez sur Entrée pour activer un élément.	Utilice las flechas arriba y abajo las teclas de flecha para navegar. Utilice Tab y Shift-Tab para saltar rápidamente entre los grupos de elementos. Prensa volver a activar un elemento.	使用向上和向下箭頭鍵進行導航。使用Tab和Shift-Tab可在元素組之間快速跳轉。按返回鍵激活一個項目。
Desktop_HintButton	Press return to select.	Zum Anwählen Enter drücken.	Appuyez sur Entrée pour sélectionner.	Prensa volver a seleccionar.	按返回鍵選擇
Desktop_HintToggle	Press return to change.	Zum Ändern Enter drücken.	Appuyez sur Entrée pour le changement.	Prensa retorno al cambio.	按返回鍵更改
Desktop_HintTextEdit	Press return to edit.	Zum Ändern Enter drücken.	Appuyez sur Entrée pour modifier.	Prensa retorno a la edición.	按返回鍵編輯
Desktop_HintDropdown	Press return to change.	Zum Ändern Enter drücken.	Appuyez sur Entrée pour le changement.	Prensa retorno al cambio.	按返回鍵更改
Desktop_HintSlider	Press return to activate, then use up and down arrows to change the value.	Zum Anwählen Enter drücken, danach mit den Pfeiltasten einen Eintrag auswählen.	Appuyez sur Entrée pour activer, puis utilisez flèches haut et bas pour changer la valeur.	Pulse Intro para activar, a continuación, utilizar flechas arriba y abajo para cambiar el valor.	按返回鍵激活

///////////////////////////////////////CUSTOM///////////////////////////////////////

///////////////////////////////////////Main Scene///////////////////////////////////////

Setting_Button	setting button	setting button	setting button	setting button	設定按鈕
Category_List	category list	category list	category list	category list	分類選單
Item_List	item list	item list	item list	item list	項目清單
Return_Button	return button	return button	return button	return button	返回按鈕

///////////////////////////////////////Setting Scene///////////////////////////////////////


///////////////////////////////////////PAGE///////////////////////////////////////
Landmarks	Landmarks	Landmarks	Landmarks	Landmarks	世界名勝
Dummy	Dummy	Dummy	Dummy	Dummy	虛擬項目


///////////////////////////////////////Landmarks///////////////////////////////////////
Big Ben London	Big Ben London	Big Ben London	Big Ben London	Big Ben London	英國大笨鐘
Windmill	Windmill	Windmill	Windmill	Windmill	荷蘭風車
Dome Of The Rock	Dome Of The Rock	Dome Of The Rock	Dome Of The Rock	Dome Of The Rock	圓頂清真寺
Taj Mahal	Taj Mahal	Taj Mahal	Taj Mahal	Taj Mahal	泰姬陵

///////////////////////////////////////Hint String///////////////////////////////////////
Direction_Almost	it is close.	it is close.	it is close.	it is close.	很接近了
Direction_Left	it is on the left.	it is on the left.	it is on the left.	it is on the left.	它在左邊
Direction_Right	it is on the right.	it is on the right.	it is on the right.	it is on the right.	它在右邊
Direction_Up	it is above the current touch position.	it is above the current touch position.	it is above the current touch position.	it is above the current touch position.	它高於當前觸摸位置
Direction_Down	it is below the current touch position.	it is below the current touch position.	it is below the current touch position.	it is below the current touch position.	它低於當前觸摸位置
Direction_Left_Down	it is on the left down of current touch position.	it is on the left down of current touch position.	it is on the left down of current touch position.	it is on the left down of current touch position.	它在當前觸摸位置的左下方
Direction_Left_Up	it is on the left up of the current touch position.	it is on the left up of the current touch position.	it is on the left up of the current touch position.	it is on the left up of the current touch position.	它在當前觸摸位置的左上方
Direction_Right_Down	it is on the right down of the current touch position.	it is on the right down of the current touch position.	it is on the right down of the current touch position.	it is on the right down of the current touch position.	它在當前觸摸位置的右下方
Direction_Right_Up	it is on the right up of the current touch position.	it is on the right up of the current touch position.	it is on the right up of the current touch position.	it is on the right up of the current touch position.	它在當前觸摸位置的右上方
